City,Price,Beds,Baths,Sqft,Address,Link
Florida,"$579,900",4 beds,3 baths,"2,332 sq ft","1124 NW 100th Ter, Miami, FL 33150",N/A
Florida,"$1,350,000",2 beds,2 baths,"1,529 sq ft","1331 Brickell Bay Dr #1808, Miami, FL 33131",N/A
Florida,"$470,000",3 beds,2 baths,667 sq ft,"2331 NW 55th Ter, Miami, FL 33142",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$649,900",4 beds,2 baths,"1,897 sq ft","15861 SW 137th Pl, Miami, FL 33177",N/A
Florida,"$299,000",2 beds,1 bath,866 sq ft,"2465 SW 18th Ave #3210, Miami, FL 33145",N/A
Florida,"$780,000",3 beds,2 baths,"1,372 sq ft","8936 SW 6th Ln, Miami, FL 33174",N/A
Florida,"$1,600,000",3 beds,4 baths,"1,613 sq ft","801 Miami Ave #2201, Miami, FL 33130",N/A
Florida,"$799,999",5 beds,3 baths,"2,522 sq ft","2232 SW 82nd Ct, Miami, FL 33155",N/A
Florida,"$705,000",4 beds,2 baths,"1,470 sq ft","11752 SW 168th Ter, Miami, FL 33177",N/A
Florida,"$1,595,000",3 beds,3 baths,"1,618 sq ft","38 SW 25th Rd, Miami, FL 33129",N/A
Florida,"$304,000",2 beds,2 baths,"1,312 sq ft","1000 Quayside Te #410, Miami, FL 33138",N/A
Florida,"$700,000",2 beds,2 baths,"1,467 sq ft","1901 Brickell Ave Unit B2413, Miami, FL 33129",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$725,000",5 beds,3 baths,"1,910 sq ft","1744 NW 4th St, Miami, FL 33125",N/A
Florida,"$450,000",1 bed,1.5 baths,733 sq ft,"300 S Biscayne Blvd #2705, Miami, FL 33131",N/A
Florida,"$659,900",2 beds,2 baths,986 sq ft,"950 Brickell Bay Dr #1107, Miami, FL 33131",N/A
Florida,"$849,999",5 beds,3 baths,"2,456 sq ft","7815 SW 21st Ter, Miami, FL 33155",N/A
Florida,"$3,650,000",5 beds,5 baths,"3,512 sq ft","5320 Sunset Dr, Miami, FL 33143",N/A
Florida,"$8,295,000",6 beds,6.5 baths,— sq ft,"6200 Moss Ranch Rd, Pinecrest, FL 33156",N/A
Florida,"$970,000",2 beds,2.5 baths,"1,202 sq ft","88 SW 7th St #1205, Miami, FL 33130",N/A
Florida,"$750,000",2 beds,2 baths,"1,048 sq ft","1750 N Bayshore Dr #5401, Miami, FL 33132",N/A
Florida,"$399,000",2 beds,1 bath,780 sq ft,"2222 NW 86th Ter, Miami, FL 33147",N/A
Florida,"$739,000",1 bed,2 baths,754 sq ft,"2889 Mcfarlane Rd #1504, Miami, FL 33133",N/A
Florida,"$569,999",3 beds,2 baths,"1,490 sq ft","19330 NE 2nd Ave, Miami, FL 33179",N/A
Florida,"$652,000",4 beds,2.5 baths,"1,812 sq ft","Undisclosed address, Miami, FL 33186",N/A
Florida,"$255,000",1 bed,1 bath,712 sq ft,"7740 Camino Real Unit G-305, Miami, FL 33143",N/A
Florida,"$549,000",3 beds,3 baths,"1,575 sq ft","3232 SW 22nd Ter #201, Miami, FL 33145",N/A
Florida,"$399,000",2 beds,2 baths,"1,207 sq ft","7265 SW 89th St Unit A211, Miami, FL 33156",N/A
Florida,"$1,950,000",4 beds,4.5 baths,"1,872 sq ft","650 NE 32nd St #4701, Miami, FL 33137",N/A
Florida,"$524,500",3 beds,2.5 baths,"1,612 sq ft","12221 NW 23rd Pl, Miami, FL 33167",N/A
Florida,"$589,999",3 beds,2.5 baths,"1,442 sq ft","12309 NW 24th Pl, Miami, FL 33167",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$299,500",2 beds,2 baths,"1,086 sq ft","10830 SW 72nd St #14, Miami, FL 33173",N/A
Florida,"$2,680,000",6 beds,7.5 baths,"4,758 sq ft","2840 SW 128th Ave, Miami, FL 33175",N/A
Florida,"$400,000",1 bed,1 bath,791 sq ft,"1750 N Bayshore Dr #4604, Miami, FL 33132",N/A
Florida,"$575,000",3 beds,2 baths,"1,308 sq ft","15120 SW 140th Ter, Miami, FL 33196",N/A
Florida,"$615,000",3 beds,2 baths,"1,244 sq ft","12374 SW 197th Ter, Miami, FL 33177",N/A
Florida,"$745,000",3 beds,2 baths,"1,430 sq ft","8000 NE 8th Ct, Miami, FL 33138",N/A
Florida,"$875,000",2 beds,2 baths,"1,084 sq ft","3145 Day Ave #1, Miami, FL 33133",N/A
Florida,"$460,000",2 beds,2.5 baths,"1,200 sq ft","13887 SW 64th St, Miami, FL 33183",N/A
Florida,"$799,000",3 beds,2 baths,"1,554 sq ft","3320 SW 92nd Ct, Miami, FL 33165",N/A
Florida,"$370,000",0 beds,1 bath,567 sq ft,"50 Biscayne Blvd #3303, Miami, FL 33132",N/A
Florida,"$775,000",7 beds,9 baths,"1,392 sq ft","901 SW 34 Ave, Miami, FL 33135",N/A
Florida,"$640,000",3 beds,3 baths,"1,844 sq ft","11771 SW 151st Pl, Miami, FL 33196",N/A
Florida,"$185,000",1 bed,1 bath,539 sq ft,"1241 NW 6th St #2, Miami, FL 33125",N/A
Florida,"$634,000",3 beds,2 baths,"1,543 sq ft","881 NW 132 Pl, Miami, FL 33182",N/A
Florida,N/A,N/A,N/A,N/A,N/A,N/A
Florida,"$290,000",2 beds,1 bath,901 sq ft,"5400 SW 77th Ct Unit 2R, Miami, FL 33155",N/A
Florida,"$220,000",1 bed,1 bath,699 sq ft,"9001 SW 77th Ave Unit C705, Miami, FL 33156",N/A
